"sku","_store","_attribute_set","_type","_category","_product_websites","name","description","short_description","weight","news_from_date","news_to_date","status","url_key","visibility","gift_message_available","price","special_price","special_from_date","special_to_date","cost","tax_class_id","enable_googlecheckout","meta_title","meta_keyword","meta_description","allow_open_amount","open_amount_max","giftcard_type","is_redeemable","use_config_is_redeemable","lifetime","use_config_lifetime","allow_message","use_config_allow_message","email_template","use_config_email_template","activation_information","base_price_amount","base_price_base_amount","base_price_base_unit","base_price_unit","base_price_use","color","computer_manufacturers","contrast_ratio","country_of_manufacture","country_orgin","cpu_speed","created_at","custom_design","custom_design_from","custom_design_to","custom_layout_update","designeditor_theme_id","dimension","finish","gallery","gender","harddrive_speed","hardrive","has_options","image","image_label","in_depth","is_imported","manufacturer","max_resolution","megapixels","memory","metal","model","msrp","msrp_display_actual_price_type","msrp_enabled","open_amount_min","options_container","package_type","page_layout","processor","ram_size","required_options","response_time","room","screensize","shape","shirt_size","shoe_size","shoe_type","size","small_image","small_image_label","style","thumbnail","thumbnail_label","type","updated_at","url_path","_additional_image","_additional_image_label","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","_giftcard_amounts_website","_giftcard_amounts_amount","_links_related_sku","_links_related_position","_links_crosssell_sku","_links_crosssell_position","_links_upsell_sku","_links_upsell_position","_associated_sku","_associated_default_qty","_associated_position","_tier_price_website","_tier_price_customer_group","_tier_price_qty","_tier_price_price","_custom_option_store","_custom_option_type","_custom_option_title","_custom_option_is_required","_custom_option_price","_custom_option_sku","_custom_option_max_characters","_custom_option_sort_order","_custom_option_row_title","_custom_option_row_price","_custom_option_row_sku","_custom_option_row_sort","_super_products_sku","_super_attribute_code","_super_attribute_option","_super_attribute_price_corr"
"SH002","","Default","simple","SHOP BY MATERIAL/Silver Photo Pendants","base","Sterling Silver Medium Heart Photo Pendant with Diamond Cut","<p><span style=""font-size: medium; font-family: georgia, palatino;""><strong>Medium heart picture engraved pendant in solid Sterling Silver with diamond cut edge</strong></span></p>
<ul>
<li><span style=""font-size: medium; font-family: georgia, palatino;"">29x27 mm + 10mm loop</span></li>
<li><span style=""font-size: medium; font-family: georgia, palatino;"">solid Sterling Silver</span></li>
<li><span style=""font-size: medium; font-family: georgia, palatino;"">with elegant gift box</span></li>
</ul>
<p><span style=""font-size: medium; font-family: georgia, palatino;"">Ready in&nbsp;<strong id=""mf126"">5&nbsp;working days</strong>&nbsp;or sooner</span></p>
<ul>
</ul>
<ul>
</ul>
<ul>
</ul>","<p><span style=""font-family: georgia, palatino; font-size: medium;"">Medium heart custom photo etched necklace/charm in solid Sterling Silver with diamond cut edge. Personalize your charm even more with picture or message engraved on reverse.</span></p>
<ul>
<li><span style=""font-family: georgia, palatino; font-size: medium;"">Material: Sterling Silver</span></li>
<li><span style=""font-family: georgia, palatino; font-size: medium;"">Shape: heart</span></li>
<li><span style=""font-family: georgia, palatino; font-size: medium;"">Size: medium</span></li>
</ul>","1.9000","2014-07-01 00:00:00","2015-07-31 00:00:00","1","photo-pendant-charm-silver-medium-heart","4","0","69.9500","","","","13.9000","2","0","Sterling Silver Medium Heart Photo Charm/ Pendant - Picture Engraved Jewellery","","Custom medium heart photo engraved pendant/charm in Sterling Silver with classic diamond cut edge. Lifetime warranty and free worldwide shipping . Customize order with engraved message on reverse and more...","","","","","","","","","","","","","1.9000","","KG __long","KG __long","No","","","","","","","2011-08-20 16:01:35","","","","","11","","","","","","","1","/s/i/silver-photo-jewellery-pendant-heart-m.jpg","","","Yes","","","","","SILVER","","","Use config","Use config","","Block after Info Column","","2 columns with right bar","","","1","","","","HEART","","","","MED","/s/i/silver-photo-jewellery-pendant-heart-m.jpg","","D/CUT","/s/i/silver-photo-jewellery-pendant-heart-m.jpg","","PENDANT","2014-07-02 10:24:45","photo-pendant-charm-silver-medium-heart.html","","","0.0000","0","1","0","0","1","1.0000","1","10000","1","0","1","1","0","1","1","1","1","1","0","","","","","","","SGP002","0","","","","","","","","","field","I wish to have message engraved on reverse","0","10.0000","MESSAGE","40","4","","","","","","","",""
"","","","","SHOP BY MATERIAL/Silver Photo Pendants/Heart Photo Pendants in Silver","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GHP001","0","","","","","","","","","radio","I have a photo with multiple people or several separate photos","1","","","","2","No thanks, only 1 person / 1 photo on one side","0.0000","","1","","","",""
"","","","","PHOTO ENGRAVED PENDANTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GGP001","0","","","","","","","","","","","","","","","","2 people / 2 photos on front","15.0000","2PHOTO","2","","","",""
"","","","","PHOTO ENGRAVED PENDANTS/Silver Photo Pendants","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM003","0","","","","","","","","","","","","","","","","3 people / 3 photos on front","30.0000","3PHOTO","3","","","",""
"","","","","SHOP BY SHAPE/Heart Photo Pendants","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","default","","","","","","","","2 people / 2 photos on front","","","","","","",""
"","","","","SHOP BY STYLE/Diamond Cut Pendants","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","default","","","","","","","","3 people / 3 photos on front","","","","","","",""
"","","","","PHOTO PENDANTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","radio","I wish to have photo engraved on reverse (holographic finish only)","1","","","","3","No thanks, I only want photo on front","0.0000","","1","","","",""
"","","","","SHOP BY STYLE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes, please 1 person / 1 photo on back ","20.0000","DOUBLE","2","","","",""
"","","","","SHOP BY MATERIAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes, please 2 people / 2 photos on back ","30.0000","DOUBLE2","3","","","",""
"","","","","SHOP BY SHAPE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","default","","","","","","","","Yes, please 1 person / 1 photo on back ","","","","","","",""
